Year,Name,Party,Result,Election_ID,Popular,Electoral,RE
2016,Hillary Clinton,Democratic,Lose,58,48.2,232,No
2016,Donald Trump,Republican,Win,58,46.2,306,No
2012,Mitt Romney,Republican,Lose,57,47.2,206,No
2012,Barack Obama,Democratic,Win,57,51.1,332,Yes
2008,John McCain,Republican,Lose,56,46,173,No
2008,Barack Obama,Democratic,Win,56,52.6,365,No
2004,John Kerry,Democratic,Lose,55,48.3,252,No
2004,George W. Bush,Republican,Win,55,50.7,286,Yes
2000,Al Gore,Democratic,Lose,54,48.4,467,No
2000,George W. Bush,Republican,Win,54,47.9,271,No
1996,Bob Dole,Republican,Lose,53,40.7,159,No
1996,Bill Clinton,Democratic,Win,53,49.2,379,Yes
1992,George H. Bush,Republican,Lose,52,37.4,168,Yes
1992,Bill Clinton,Democratic,Win,52,43,370,No
1988,Michael Dukakis,Democratic,Lose,51,45.6,112,No
1988,George H. Bush,Republican,Win,51,53.4,426,No
1984,Walter Mondale,Democratic,Lose,50,40.6,13,No
1984,Ronald Reagan,Republican,Win,50,58.8,525,Yes
1980,Jimmy Carter,Democratic,Lose,49,41,49,No
1980,Ronald Reagan,Republican,Win,49,50.7,489,No
1976,Gerald Ford,Republican,Lose,48,48,241,Yes
1976,Jimmy Carter,Democratic,Win,48,50.1,297,No
1972,George McGovern,Democratic,Lose,47,37.2,17,No
1972,Richard Nixon,Republican,Win,47,60.7,520,Yes
1968,Hubert Humphrey,Democratic,Lose,46,42.4,191,No
1968,Richard Nixon,Republican,Win,46,43.4,301,No
1964,Barry Goldwater,Republican,Lose,45,38.7,52,No
1964,Lyndon B. Johnson,Democratic,Win,45,61.1,486,Yes
1960,Richard Nixon,Republican,Lose,44,49.5,219,No
1960,John F. Kennedy,Democratic,Win,44,49.7,303,No
1956,Adlai Stevenson,Democratic,Lose,43,42,73,No
1956,Dwight D. Eisenhower,Republican,Win,43,57.4,457,Yes
1952,Adlai Stevenson,Democratic,Lose,42,44.4,89,No
1952,Dwight D. Eisenhower,Republican,Win,42,55.2,442,No
