Year,Name,Party
2016,AL,Republican
2016,AK,Republican
2016,AZ,Republican
2016,AR,Republican
2016,CA,Democratic
2016,CO,Democratic
2016,CT,Democratic
2016,DE,Democratic
2016,DC,Democratic
2016,FL,Republican
2016,GA,Republican
2016,HI,Democratic
2016,ID,Republican
2016,IL,Democratic
2016,IN,Republican
2016,IA,Republican
2016,KS,Republican
2016,KY,Republican
2016,LA,Republican
2016,ME,Democratic
2016,MD,Democratic
2016,MA,Democratic
2016,MI,Republican
2016,MN,Democratic
2016,MS,Republican
2016,MO,Republican
2016,MT,Republican
2016,NE,Republican
2016,NV,Democratic
2016,NH,Democratic
2016,NJ,Democratic
2016,NM,Democratic
2016,NY,Democratic
2016,NC,Republican
2016,ND,Republican
2016,OH,Republican
2016,OK,Republican
2016,OR,Democratic
2016,PA,Republican
2016,RI,Democratic
2016,SC,Republican
2016,SD,Republican
2016,TN,Republican
2016,TX,Republican
2016,UT,Republican
2016,VT,Democratic
2016,VA,Democratic
2016,WA,Democratic
2016,WV,Republican
2016,WI,Republican
2016,WY,Republican
2012,AL,Republican
2012,AK,Republican
2012,AZ,Republican
2012,AR,Republican
2012,CA,Democratic
2012,CO,Democratic
2012,CT,Democratic
2012,DE,Democratic
2012,DC,Democratic
2012,FL,Democratic
2012,GA,Republican
2012,HI,Democratic
2012,ID,Republican
2012,IL,Democratic
2012,IN,Republican
2012,IA,Democratic
2012,KS,Republican
2012,KY,Republican
2012,LA,Republican
2012,ME,Democratic
2012,MD,Democratic
2012,MA,Democratic
2012,MI,Democratic
2012,MN,Democratic
2012,MS,Republican
2012,MO,Republican
2012,MT,Republican
2012,NE,Republican
2012,NV,Democratic
2012,NH,Democratic
2012,NJ,Democratic
2012,NM,Democratic
2012,NY,Democratic
2012,NC,Republican
2012,ND,Republican
2012,OH,Democratic
2012,OK,Republican
2012,OR,Democratic
2012,PA,Democratic
2012,RI,Democratic
2012,SC,Republican
2012,SD,Republican
2012,TN,Republican
2012,TX,Republican
2012,UT,Republican
2012,VT,Democratic
2012,VA,Democratic
2012,WA,Democratic
2012,WV,Republican
2012,WI,Democratic
2012,WY,Republican
2008,AL,Republican
2008,AK,Republican
2008,AZ,Republican
2008,AR,Republican
2008,CA,Democratic
2008,CO,Democratic
2008,CT,Democratic
2008,DE,Democratic
2008,DC,Democratic
2008,FL,Democratic
2008,GA,Republican
2008,HI,Democratic
2008,ID,Republican
2008,IL,Democratic
2008,IN,Democratic
2008,IA,Democratic
2008,KS,Republican
2008,KY,Republican
2008,LA,Republican
2008,ME,Democratic
2008,MD,Democratic
2008,MA,Democratic
2008,MI,Democratic
2008,MN,Democratic
2008,MS,Republican
2008,MO,Republican
2008,MT,Republican
2008,NE,Republican
2008,NV,Democratic
2008,NH,Democratic
2008,NJ,Democratic
2008,NM,Democratic
2008,NY,Democratic
2008,NC,Democratic
2008,ND,Republican
2008,OH,Democratic
2008,OK,Republican
2008,OR,Democratic
2008,PA,Democratic
2008,RI,Democratic
2008,SC,Republican
2008,SD,Republican
2008,TN,Republican
2008,TX,Republican
2008,UT,Republican
2008,VT,Democratic
2008,VA,Democratic
2008,WA,Democratic
2008,WV,Republican
2008,WI,Democratic
2008,WY,Republican
2004,AL,Republican
2004,AK,Republican
2004,AZ,Republican
2004,AR,Republican
2004,CA,Democratic
2004,CO,Republican
2004,CT,Democratic
2004,DE,Democratic
2004,DC,Democratic
2004,FL,Republican
2004,GA,Republican
2004,HI,Democratic
2004,ID,Republican
2004,IL,Democratic
2004,IN,Republican
2004,IA,Republican
2004,KS,Republican
2004,KY,Republican
2004,LA,Republican
2004,ME,Democratic
2004,MD,Democratic
2004,MA,Democratic
2004,MI,Democratic
2004,MN,Democratic
2004,MS,Republican
2004,MO,Republican
2004,MT,Republican
2004,NE,Republican
2004,NV,Republican
2004,NH,Democratic
2004,NJ,Democratic
2004,NM,Republican
2004,NY,Democratic
2004,NC,Republican
2004,ND,Republican
2004,OH,Republican
2004,OK,Republican
2004,OR,Democratic
2004,PA,Democratic
2004,RI,Democratic
2004,SC,Republican
2004,SD,Republican
2004,TN,Republican
2004,TX,Republican
2004,UT,Republican
2004,VT,Democratic
2004,VA,Republican
2004,WA,Democratic
2004,WV,Republican
2004,WI,Democratic
2004,WY,Republican
2000,AL,Republican
2000,AK,Republican
2000,AZ,Republican
2000,AR,Republican
2000,CA,Democratic
2000,CO,Republican
2000,CT,Democratic
2000,DE,Democratic
2000,DC,Democratic
2000,FL,Republican
2000,GA,Republican
2000,HI,Democratic
2000,ID,Republican
2000,IL,Democratic
2000,IN,Republican
2000,IA,Democratic
2000,KS,Republican
2000,KY,Republican
2000,LA,Republican
2000,ME,Democratic
2000,MD,Democratic
2000,MA,Democratic
2000,MI,Democratic
2000,MN,Democratic
2000,MS,Republican
2000,MO,Republican
2000,MT,Republican
2000,NE,Republican
2000,NV,Republican
2000,NH,Republican
2000,NJ,Democratic
2000,NM,Democratic
2000,NY,Democratic
2000,NC,Republican
2000,ND,Republican
2000,OH,Republican
2000,OK,Republican
2000,OR,Democratic
2000,PA,Democratic
2000,RI,Democratic
2000,SC,Republican
2000,SD,Republican
2000,TN,Republican
2000,TX,Republican
2000,UT,Republican
2000,VT,Democratic
2000,VA,Republican
2000,WA,Democratic
2000,WV,Republican
2000,WI,Democratic
2000,WY,Republican
1996,AL,Republican
1996,AK,Republican
1996,AZ,Democratic
1996,AR,Democratic
1996,CA,Democratic
1996,CO,Republican
1996,CT,Democratic
1996,DE,Democratic
1996,DC,Democratic
1996,FL,Democratic
1996,GA,Republican
1996,HI,Democratic
1996,ID,Republican
1996,IL,Democratic
1996,IN,Republican
1996,IA,Democratic
1996,KS,Republican
1996,KY,Democratic
1996,LA,Democratic
1996,ME,Democratic
1996,MD,Democratic
1996,MA,Democratic
1996,MI,Democratic
1996,MN,Democratic
1996,MS,Republican
1996,MO,Democratic
1996,MT,Republican
1996,NE,Republican
1996,NV,Democratic
1996,NH,Democratic
1996,NJ,Democratic
1996,NM,Democratic
1996,NY,Democratic
1996,NC,Republican
1996,ND,Republican
1996,OH,Democratic
1996,OK,Republican
1996,OR,Democratic
1996,PA,Democratic
1996,RI,Democratic
1996,SC,Republican
1996,SD,Republican
1996,TN,Democratic
1996,TX,Republican
1996,UT,Republican
1996,VT,Democratic
1996,VA,Republican
1996,WA,Democratic
1996,WV,Democratic
1996,WI,Democratic
1996,WY,Republican
1992,AL,Republican
1992,AK,Republican
1992,AZ,Republican
1992,AR,Democratic
1992,CA,Democratic
1992,CO,Democratic
1992,CT,Democratic
1992,DE,Democratic
1992,DC,Democratic
1992,FL,Republican
1992,GA,Democratic
1992,HI,Democratic
1992,ID,Republican
1992,IL,Democratic
1992,IN,Republican
1992,IA,Democratic
1992,KS,Republican
1992,KY,Democratic
1992,LA,Democratic
1992,ME,Democratic
1992,MD,Democratic
1992,MA,Democratic
1992,MI,Democratic
1992,MN,Democratic
1992,MS,Republican
1992,MO,Democratic
1992,MT,Democratic
1992,NE,Republican
1992,NV,Democratic
1992,NH,Democratic
1992,NJ,Democratic
1992,NM,Democratic
1992,NY,Democratic
1992,NC,Republican
1992,ND,Republican
1992,OH,Democratic
1992,OK,Republican
1992,OR,Democratic
1992,PA,Democratic
1992,RI,Democratic
1992,SC,Republican
1992,SD,Republican
1992,TN,Democratic
1992,TX,Republican
1992,UT,Republican
1992,VT,Democratic
1992,VA,Republican
1992,WA,Democratic
1992,WV,Democratic
1992,WI,Democratic
1992,WY,Republican
1988,AL,Republican
1988,AK,Republican
1988,AZ,Republican
1988,AR,Republican
1988,CA,Republican
1988,CO,Republican
1988,CT,Republican
1988,DE,Republican
1988,DC,Democratic
1988,FL,Republican
1988,GA,Republican
1988,HI,Democratic
1988,ID,Republican
1988,IL,Republican
1988,IN,Republican
1988,IA,Democratic
1988,KS,Republican
1988,KY,Republican
1988,LA,Republican
1988,ME,Republican
1988,MD,Republican
1988,MA,Democratic
1988,MI,Republican
1988,MN,Democratic
1988,MS,Republican
1988,MO,Republican
1988,MT,Republican
1988,NE,Republican
1988,NV,Republican
1988,NH,Republican
1988,NJ,Republican
1988,NM,Republican
1988,NY,Democratic
1988,NC,Republican
1988,ND,Republican
1988,OH,Republican
1988,OK,Republican
1988,OR,Democratic
1988,PA,Republican
1988,RI,Democratic
1988,SC,Republican
1988,SD,Republican
1988,TN,Republican
1988,TX,Republican
1988,UT,Republican
1988,VT,Republican
1988,VA,Republican
1988,WA,Democratic
1988,WV,Democratic
1988,WI,Democratic
1988,WY,Republican
1984,AL,Republican
1984,AK,Republican
1984,AZ,Republican
1984,AR,Republican
1984,CA,Republican
1984,CO,Republican
1984,CT,Republican
1984,DE,Republican
1984,DC,Democratic
1984,FL,Republican
1984,GA,Republican
1984,HI,Republican
1984,ID,Republican
1984,IL,Republican
1984,IN,Republican
1984,IA,Republican
1984,KS,Republican
1984,KY,Republican
1984,LA,Republican
1984,ME,Republican
1984,MD,Republican
1984,MA,Republican
1984,MI,Republican
1984,MN,Democratic
1984,MS,Republican
1984,MO,Republican
1984,MT,Republican
1984,NE,Republican
1984,NV,Republican
1984,NH,Republican
1984,NJ,Republican
1984,NM,Republican
1984,NY,Republican
1984,NC,Republican
1984,ND,Republican
1984,OH,Republican
1984,OK,Republican
1984,OR,Republican
1984,PA,Republican
1984,RI,Republican
1984,SC,Republican
1984,SD,Republican
1984,TN,Republican
1984,TX,Republican
1984,UT,Republican
1984,VT,Republican
1984,VA,Republican
1984,WA,Republican
1984,WV,Republican
1984,WI,Republican
1984,WY,Republican
1980,AL,Republican
1980,AK,Republican
1980,AZ,Republican
1980,AR,Republican
1980,CA,Republican
1980,CO,Republican
1980,CT,Republican
1980,DE,Republican
1980,DC,Democratic
1980,FL,Republican
1980,GA,Democratic
1980,HI,Democratic
1980,ID,Republican
1980,IL,Republican
1980,IN,Republican
1980,IA,Republican
1980,KS,Republican
1980,KY,Republican
1980,LA,Republican
1980,ME,Republican
1980,MD,Democratic
1980,MA,Republican
1980,MI,Republican
1980,MN,Democratic
1980,MS,Republican
1980,MO,Republican
1980,MT,Republican
1980,NE,Republican
1980,NV,Republican
1980,NH,Republican
1980,NJ,Republican
1980,NM,Republican
1980,NY,Republican
1980,NC,Republican
1980,ND,Republican
1980,OH,Republican
1980,OK,Republican
1980,OR,Republican
1980,PA,Republican
1980,RI,Democratic
1980,SC,Republican
1980,SD,Republican
1980,TN,Republican
1980,TX,Republican
1980,UT,Republican
1980,VT,Republican
1980,VA,Republican
1980,WA,Republican
